metric,description,value
D_delta,Average decision overhead per step,0.042618348857981374
decision_time_avg,Average decision time across agents (seconds),162.62561008135478
decision_time_std,Decision time std dev across agents (seconds),15.932170858478097
wait_time_avg,Average wait time across agents (seconds),5.9512766679128015
wait_time_std,Wait time std dev across agents (seconds),3.567054515140914
L_tot,Total messages exchanged,0
L_std,Communication load std dev,0
L_avg,Average messages per agent,0.0
P_total,Total plans,321
P_int,Plan interruption count,119
P_failed,Failed plan count,115
P_episode_ended,Plans truncated by episode end,15
P_non_success,Failed + interrupted + abandoned plans,234
P_res_rate,Plan resumption rate,0.01680672268907563
P_re_rate,Replanning rate,0.9831932773109243
P_coherence,Average plan coherence per step,0.23174603174603173
Z_gain_rate,Capability gains per step,0.0
S_team,Total team resource score,0.0
S_agent_count,Number of agents in the episode,15
S_team_per_agent,Team resource score per agent,0.0
S_decision_seconds_per_score,Decision seconds per team score point,
S_messages_per_score,Messages per team score point,
S_tokens_per_score,LLM tokens per team score point,
C_spatial_ratio,Spatial constraint improvement ratio,0.5
C_temporal_ratio,Temporal constraint improvement ratio,0.5
C_dependency_ratio,Dependency constraint improvement ratio,0.5
